instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
Martin University,39.798144,Martin University, ,-86.103953,02140800  ,39.798440,-86.104771,02140800  ,
Martinsburg College,39.487050,Martinsburg College, ,-77.959701,04242900  ,,,,
Mary Baldwin University,38.153884,Mary Baldwin University,MBU,-79.069273,00372300  ,38.154799,-79.068325,00372300  ,
Marygrove College,42.414415,Marygrove College, ,-83.154109,00228400  ,42.414415,-83.154109,00228400  ,
Maryland Beauty Academy of Essex,39.298440,Maryland Beauty Academy of Essex,Maryland Beauty Academy  Maryland Beauty Academy-Essex,-76.509213,02331000  ,39.308129,-76.475626,02331000  ,
Maryland Institute College of Art,39.308792,Maryland Institute College of Art,MICA,-76.621033,00208000  ,39.308792,-76.621033,00208000  ,
Maryland University of Integrative Health,39.165872,Maryland University of Integrative Health, ,-76.888025,02578400  ,39.165872,-76.888025,02578400  ,
Marymount California University,33.734887,Marymount California University, ,-118.333371,01047400  ,33.734630,-118.333404,01047400  ,
Marymount Manhattan College,40.768787,Marymount Manhattan College,MMC,-73.959767,00276900  ,40.769108,-73.959676,00276900  ,
Marymount University,38.905562,Marymount University, ,-77.128785,00372400  ,38.905552,-77.128799,00372400  ,
Maryville College,35.751505,Maryville College, ,-83.964223,00350500  ,35.751969,-83.963853,00350500  ,
Maryville University of Saint Louis,38.644774,Maryville University of Saint Louis, ,-90.505998,00248200  ,38.645474,-90.505096,00248200  ,
Marywood University,41.434587,Marywood University,Marywood,-75.634142,00329600  ,41.434978,-75.633996,00329600  ,
Massachusetts Bay Community College,42.312292,Massachusetts Bay Community College,MassBay Community College,-71.263821,00217100  ,42.312697,-71.264004,00217100  ,
Massachusetts College of Art and Design,42.336862,Massachusetts College of Art and Design, ,-71.099275,00218000  ,42.336930,-71.099537,00218000  ,
Massachusetts College of Liberal Arts,42.691361,Massachusetts College of Liberal Arts,MCLA,-73.102817,00218700  ,42.692427,-73.103500,00218700  ,
Massachusetts Institute of Technology,42.359243,Massachusetts Institute of Technology,MIT  M.I.T.,-71.093226,00217800  ,42.360095,-71.092115,00217800  ,
Massachusetts Maritime Academy,41.739072,Massachusetts Maritime Academy, ,-70.624084,00218100  ,41.740538,-70.623953,00218100  ,
Massachusetts School of Barbering,42.247457,Massachusetts School of Barbering, ,-71.001891,02092100  ,42.247023,-71.000967,02092100  ,
Massachusetts School of Law,42.682106,Massachusetts School of Law, ,-71.199540,03235300  ,42.688042,-71.202030,03235300  ,
Massage Institute of Memphis,35.134871,Massage Institute of Memphis, ,-89.992526,04246500  ,,,,
Massage Therapy Institute of Colorado,39.739437,Massage Therapy Institute of Colorado, ,-104.960118,03976300  ,39.739051,-104.959486,03976300  ,
Massasoit Community College,42.075070,Massasoit Community College, ,-70.989799,00217700  ,42.076048,-70.988944,00217700  ,
Master's Barber & Styling College,36.219691,Master's Barber & Styling College,Master's Barber College,-86.571436,04258900  ,,,,
Mauna Loa Helicopters,19.729107,Mauna Loa Helicopters,Hawaii Pacific Aviation inc. dba Mauna Loa Helicopters,-156.041847,04165200  ,19.729352,-156.041187,04165200  ,
Mayfield College,33.790822,Mayfield College, ,-116.458827,04115600  ,33.782575,-116.464237,04115600  ,
Mayland Community College,35.934475,Mayland Community College, ,-82.016988,01119700  ,35.934475,-82.016988,01119700  ,
Mayo Clinic College of Medicine and Science,44.022150,Mayo Clinic College of Medicine and Science, ,-92.466428,01173200  ,44.020808,-92.466417,01173200  ,
Maysville Community and Technical College,38.626607,Maysville Community and Technical College, ,-83.806786,00696000  ,38.627026,-83.805641,00696000  ,
Mayville State University,47.505415,Mayville State University, ,-97.322554,00299300  ,47.504671,-97.322545,00299300  ,
McAllen Careers Institute,26.199744,McAllen Careers Institute, ,-98.222560,04270700  ,,,,
McCormick Theological Seminary,41.795970,McCormick Theological Seminary, ,-87.598511,00172100  ,41.793514,-87.596100,00172100  ,
McDaniel College,39.584231,McDaniel College, ,-77.001992,00210900  ,39.584879,-77.001662,00210900  ,
McDougle Technical  Institute,26.256460,McDougle Technical  Institute, ,-80.101821,04228900  ,,,,
McDowell Technical Community College,35.656254,McDowell Technical Community College, ,-81.962080,00808500  ,35.656220,-81.960896,00808500  ,
McHenry County College,42.259111,McHenry County College,MCC  McHenry  McHenrey,-88.368956,00769100  ,42.258844,-88.366138,00769100  ,
McKendree University,38.608154,McKendree University, ,-89.816822,00172200  ,38.609431,-89.814486,00172200  ,
McLennan Community College,31.589470,McLennan Community College,MCC,-97.171228,00359000  ,31.590003,-97.172870,00359000  ,
McMurry University,32.429776,McMurry University,McMurray University|McMurry College|McMurray College|McM|McM University|McM College|Mcmurry University|Mcmurry College|Mcmurray University|Mcmurray College|McMurry|McMurray|Mcmurry|Mcmurray|,-99.748682,00359100  ,32.429551,-99.750277,00359100  ,
McNeese State University,30.178187,McNeese State University,McNeese,-93.217222,00201700  ,30.180762,-93.215648,00201700  ,
McPherson College,38.371422,McPherson College, ,-97.642996,00193300  ,38.371464,-97.644300,00193300  ,
MCPHS University,42.336825,MCPHS University,MCPHS University,-71.101244,00216500  ,42.337036,-71.100964,00216500  ,
MDT College of Health Sciences,41.544523,MDT College of Health Sciences,ATS Institute of Technology,-81.451979,03468500  ,41.547556,-81.451108,03468500  ,
Meadville Lombard Theological School,41.874027,Meadville Lombard Theological School, ,-87.624619,00172300  ,41.874107,-87.624292,00172300  ,
Mech-Tech College,18.237102,Mech-Tech College, ,-66.053276,03025500  ,18.237102,-66.053276,03025500  ,
Mechon L'hoyroa,41.117029,Mechon L'hoyroa, ,-74.058177,04261500  ,,,,
Med Academy,25.898210,Med Academy, ,-80.352560,04244700  ,,,,
Medaille College,42.928560,Medaille College, ,-78.855941,00277700  ,42.928950,-78.856569,00277700  ,
MediaTech Institute-Dallas,32.924270,MediaTech Institute-Dallas, ,-96.902721,04129800  ,32.925492,-96.903849,04129800  ,
MediaTech Institute-Houston,29.724809,MediaTech Institute-Houston, ,-95.568341,04129802  ,29.724809,-95.568341,04129802  ,
Medical Allied Career Center,33.918710,Medical Allied Career Center, ,-118.062402,04185600  ,33.917198,-118.062951,04185600  ,
Medical Career & Technical College,37.734796,Medical Career & Technical College, ,-84.309012,04249000  ,,,,
Medical Career College of Northern California,38.723329,Medical Career College of Northern California, ,-121.293121,04137600  ,,,,
Medical Career Institute,40.263786,Medical Career Institute, ,-74.046322,04207500  ,40.263228,-74.046685,04207500  ,
Medical College of Wisconsin,43.044527,Medical College of Wisconsin, ,-88.022674,02453500  ,43.044108,-88.022698,02453500  ,
Medical Institute of Palm Beach,26.620478,Medical Institute of Palm Beach, ,-80.134959,04148500  ,26.620470,-80.136220,04148500  ,
Medical Prep Institute of Tampa Bay,28.033188,Medical Prep Institute of Tampa Bay, ,-82.432860,04254600  ,,,,
Medical Training College,30.427312,Medical Training College, ,-91.069449,03356300  ,30.427312,-91.069449,03356300  ,
Medical University of South Carolina,32.784363,Medical University of South Carolina,MUSC,-79.947158,00343800  ,32.786017,-79.946853,00343800  ,
Medina County Career Center,41.155104,Medina County Career Center, ,-81.901592,02210800  ,41.155104,-81.901592,02210800  ,
MedQuest College,38.224517,MedQuest College, ,-85.560651,04229300  ,,,,
Medspa Academies,40.556810,Medspa Academies,National Institute of Medical Aesthetics,-111.912821,04210300  ,40.556774,-111.912307,04210300  ,
Meharry Medical College,36.165458,Meharry Medical College, ,-86.807371,00350600  ,36.166708,-86.807315,00350600  ,
Memorial Hospital School of Radiation Therapy Technology,40.764128,Memorial Hospital School of Radiation Therapy Technology,MSKCC School of Radiation Therapy,-73.956143,01167700  ,40.764766,-73.955729,01167700  ,
Memphis College of Art,35.145929,Memphis College of Art,MCA  Memphis Academy of Art,-89.993761,00350700  ,35.145874,-89.993707,00350700  ,
Memphis Institute of Barbering,35.158149,Memphis Institute of Barbering, ,-90.014448,03701300  ,35.158149,-90.014448,03701300  ,
Memphis Theological Seminary,35.133110,Memphis Theological Seminary, ,-89.982653,01052900  ,35.133110,-89.982653,01052900  ,
Mendocino College,39.188989,Mendocino College, ,-123.228809,01167200  ,39.191190,-123.229030,01167200  ,
Menlo College,37.453475,Menlo College,Menlo,-122.190797,00123600  ,37.452906,-122.181444,00123600  ,
Merced College,37.335300,Merced College,Merced Community College District,-120.476464,00123700  ,37.335348,-120.476726,00123700  ,
Mercer County Career Center,41.250851,Mercer County Career Center,Mercer County AVTS|Mercer County Area Vocational-Technical School|Mercer County Area Vo-Tech,-80.248614,02362300  ,41.250851,-80.248614,02362300  ,
Mercer County Community College,40.254398,Mercer County Community College, ,-74.650719,00474000  ,40.254398,-74.650719,00474000  ,
Mercer County Technical Education Center,37.360024,Mercer County Technical Education Center,MCTEC,-81.104647,02535500  ,37.360024,-81.104647,02535500  ,
Mercer University,32.831787,Mercer University, ,-83.648295,00158000  ,32.829731,-83.651042,00158000  ,
Mercy College,41.021626,Mercy College,Mercy,-73.874447,00277200  ,41.021436,-73.874571,00277200  ,
Mercy College of Health Sciences,41.594559,Mercy College of Health Sciences, ,-93.626238,00627300  ,41.594320,-93.626251,00627300  ,
Mercy College of Ohio,41.658319,Mercy College of Ohio,Mercy College,-83.552538,03097000  ,41.657936,-83.552600,03097000  ,
Mercy Hospital School of Practical Nursing-Plantation General Hospital,25.740254,Mercy Hospital School of Practical Nursing-Plantation General Hospital, ,-80.213971,03099600  ,25.743109,-80.216580,03099600  ,
Mercy-St Luke's School of Radiologic Technology,41.985552,Mercy-St Luke's School of Radiologic Technology,St. Luke's Methodist Hospital School of Radiologic Technology|Mercy/St. Lukes School of Radiology|Mercy/St. Luke's School of Radiology|St. Luke's Methodist Hospital School of Radiology,-91.660609,00423300  ,41.985552,-91.660609,00423300  ,
Mercyhurst University,42.105780,Mercyhurst University, ,-80.053412,00329700  ,42.103991,-80.055568,00329700  ,
Mercyhurst University-North East Campus,42.219677,Mercyhurst University-North East Campus, ,-79.835745,00329701  ,42.218972,-79.835756,00329701  ,
Meredith College,35.799351,Meredith College,Meredith|Meridith,-78.689995,00294500  ,35.797197,-78.689175,00294500  ,
Meredith Manor International Equestrian Center,39.298354,Meredith Manor International Equestrian Center, ,-81.398107,03052000  ,39.299660,-81.400296,03052000  ,
Meridian College,27.380724,Meridian College, ,-82.425309,02326800  ,27.380724,-82.425309,02326800  ,
Meridian Community College,32.367355,Meridian Community College,MCC,-88.732823,00241300  ,32.368097,-88.733604,00241300  ,
Meridian Institute of Surgical Assisting,36.187738,Meridian Institute of Surgical Assisting, ,-86.842536,04165000  ,36.185562,-86.841812,04165000  ,
Meridian Technology Center,36.106981,Meridian Technology Center, ,-97.108414,02060800  ,36.106981,-97.108414,02060800  ,
Meridian University,38.230878,Meridian University, ,-122.640029,04271100  ,,,,
Merkaz Bnos-Business School,40.601511,Merkaz Bnos-Business School, ,-73.997176,03181400  ,40.601426,-73.997124,03181400  ,
Merrell University of Beauty Arts and Science,38.571057,Merrell University of Beauty Arts and Science,MO College of Cosmetology,-92.198801,02520800  ,38.571007,-92.199418,02520800  ,
Merrimack College,42.668344,Merrimack College,Merrimack,-71.124216,00212000  ,42.668352,-71.124216,00212000  ,
Merritt College,37.789088,Merritt College, ,-122.167335,00126700  ,37.789088,-122.167335,00126700  ,
Merryfield School of Pet Grooming,26.190440,Merryfield School of Pet Grooming, ,-80.129991,04227500  ,,,,
Mesa Community College,33.390323,Mesa Community College, ,-111.871255,00107700  ,33.391256,-111.871494,00107700  ,
Mesabi Range College,47.524561,Mesabi Range College, ,-92.549092,00400900  ,47.524554,-92.549088,00400900  ,
Mesalands Community College,35.170332,Mesalands Community College, ,-103.736303,03206300  ,35.170332,-103.736303,03206300  ,
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,40.635236,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech, ,-73.979327,00933500  ,40.635169,-73.979166,00933500  ,
Mesivta Torah Vodaath Rabbinical Seminary,40.638200,Mesivta Torah Vodaath Rabbinical Seminary, ,-73.969395,00726400  ,40.638251,-73.969494,00726400  ,
Mesivtha Tifereth Jerusalem of America,40.713812,Mesivtha Tifereth Jerusalem of America, ,-73.991271,00397400  ,40.713812,-73.991271,00397400  ,
Messenger College,32.850760,Messenger College, ,-97.161015,03092600  ,32.835224,-97.088168,03092600  ,
Messiah College,40.156579,Messiah University, ,-76.988269,00329800  ,40.158670,-76.988492,00329800  ,
Methodist College,40.780400,Methodist College, ,-89.682864,00622800  ,40.700170,-89.591277,00622800  ,
Methodist Theological School in Ohio,40.253643,Methodist Theological School in Ohio,MTSO,-83.060146,00307500  ,40.253643,-83.060146,00307500  ,
Methodist University,35.135058,Methodist University,Methodist,-78.874426,00294600  ,35.137854,-78.875024,00294600  ,
Metro Beauty Academy,40.568650,Metro Beauty Academy,Metro Academy,-75.555591,04158000  ,40.568318,-75.554859,04158000  ,
Metro Business College-Cape Girardeau,37.333512,Metro Business College-Cape Girardeau, ,-89.573215,02180200  ,37.327199,-89.565222,02180200  ,
Metro Business College-Jefferson City,38.588967,Metro Business College-Jefferson City, ,-92.250014,02180201  ,38.588016,-92.249888,02180201  ,
Metro Business College-Rolla,37.937304,Metro Business College-Rolla, ,-91.754581,02180202  ,37.938451,-91.755012,02180202  ,
Metro Detroit Barber College,42.416931,Metro Detroit Barber College,MDBCOLLEGE,-83.145979,04248700  ,,,,
Metro Technology Centers,35.512549,Metro Technology Centers, ,-97.478182,00533900  ,35.512549,-97.478182,00533900  ,
Metropolitan College of New York,40.708706,Metropolitan College of New York,MCNY,-74.014702,00976900  ,40.723516,-74.007056,00976900  ,
Metropolitan Community College Area,41.310451,Metropolitan Community College Area, ,-95.957829,01258600  ,41.305504,-95.958658,01258600  ,
Metropolitan Community College-Kansas City,39.068668,Metropolitan Community College-Kansas City,MCC-KC,-94.589660,00248400  ,39.068683,-94.590077,00248444  ,
Metropolitan Learning Institute,40.729169,Metropolitan Learning Institute,MLI,-73.858364,03652300  ,40.730459,-73.862296,03652300  ,
Metropolitan State University,44.957256,Metropolitan State University, ,-93.074361,01037400  ,44.957017,-93.074153,01037400  ,
Metropolitan State University of Denver,39.744202,Metropolitan State University of Denver, ,-105.005040,00136000  ,39.742248,-105.002391,00136000  ,
MGH Institute of Health Professions,42.375018,MGH Institute of Health Professions, ,-71.054002,02231600  ,42.373635,-71.056518,02231600  ,
Miami Ad School - Atlanta,33.812116,Miami Ad School-Atlanta, ,-84.396182,03125604  ,33.811882,-84.395890,02217200  ,
Miami Ad School-New York,40.755046,Miami Ad School-New York, ,-73.925071,03125603  ,40.704431,-73.986638,03125603  ,
Miami Ad School-San Francisco,37.795155,Miami Ad School-San Francisco, ,-122.401198,03125602  ,37.796720,-122.402070,03125602  ,
Miami Ad School-Wynwood,25.803000,Miami Ad School-Wynwood, ,-80.204791,03125600  ,25.779947,-80.140820,03125600  ,
Miami Dade College,25.777717,Miami Dade College,MDC|MDCC|Miami-Dade Community College|Miami Dade,-80.190856,00150600  ,25.777717,-80.190856,00150600  ,
Miami International University of Art & Design-Art Institute Dallas,32.871008,Miami International University of Art & Design-Art Institute Dallas, ,-96.767823,00887807  ,32.871014,-96.767830,01303912  ,
Miami Lakes Educational Center and Technical College,25.916128,Miami Lakes Educational Center and Technical College, ,-80.295130,02316200  ,25.916128,-80.295130,02316200  ,
Miami Media School,25.765081,Miami Media School, ,-80.193028,03078000  ,,,,
Miami Regional University,25.810667,Miami Regional University, ,-80.267007,04128400  ,25.771833,-80.266583,04128400  ,
Miami University-Hamilton,39.377448,Miami University-Hamilton, ,-84.563385,00307702  ,39.377448,-84.563221,00307702  ,
Miami University-Middletown,39.523776,Miami University-Middletown, ,-84.357240,00307701  ,39.523776,-84.357240,00307701  ,
Miami University-Oxford,39.507757,Miami University-Oxford,Miami of Ohio,-84.732954,00307700  ,39.509642,-84.731821,00307700  ,
Miami Valley Career Technology Center,39.845377,Miami Valley Career Technology Center,Miami Valley CTC  MVCTC  Montgomery County JVS,-84.328951,02263700  ,39.845399,-84.330305,02263700  ,
MIAT College of Technology,42.286324,MIAT College of Technology,Michigan Institute of Aeronautics  Inc.  MIAT Institute of Technology  Michigan Institute of Aviation and Technology,-83.445507,02060300  ,42.285701,-83.447215,02060300  ,
Michael's Barber & Hair Stylist Academy,32.838765,Michael's Barber & Hair Stylist Academy, ,-96.978283,04287300  ,,,,
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,42.957837,Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School, ,-71.476135,02174800  ,42.985355,-71.462238,02174800  ,
Michigan Barber School Inc,42.365023,Michigan Barber School Inc, ,-83.128883,02361500  ,42.333711,-83.049558,02361500  ,
Michigan Career and Technical Institute,42.504599,Michigan Career and Technical Institute,MCTI,-85.517049,02618400  ,42.508058,-85.520711,02618400  ,
Michigan College of Beauty-Monroe,41.907014,Michigan College of Beauty-Monroe, ,-83.407005,02324500  ,41.907692,-83.405116,02324500  ,
Michigan College of Beauty-Troy,42.570337,Michigan College of Beauty-Troy, ,-83.127340,02125600  ,42.570337,-83.127340,02125600  ,
Michigan School of Psychology,42.491427,Michigan School of Psychology,MSP,-83.359575,02198900  ,42.491427,-83.359575,02198900  ,
Michigan State University,42.732120,Michigan State University,MSU|Spartans|MI State University|State|MI State U,-84.476111,00229000  ,42.724760,-84.473639,00229000  ,
Michigan State University-College of Law,42.725733,Michigan State University-College of Law,MSU College of Law,-84.473520,00225400  ,42.725280,-84.474642,00225400  ,
Michigan Technological University,47.118660,Michigan Technological University,Michigan Tech|MTU|Michigan Tech University|Mich Tech|Michigan Technological Univ|Michigan Tech Univ|MT,-88.548092,00229200  ,47.118300,-88.546403,00229200  ,
Mid Cities Barber College,32.710329,Mid Cities Barber College, ,-97.006955,03111000  ,32.710306,-97.006984,03111000  ,
Mid Michigan College,43.969586,Mid Michigan College, ,-84.763715,00676800  ,43.969586,-84.763715,00676800  ,
Mid-America Christian University,35.347785,Mid-America Christian University,Gulf Coast Bible College|Mid-America Bible College|MACU,-97.578297,00694200  ,35.347785,-97.578297,00694200  ,
Mid-America College of Funeral Service,38.312090,Mid-America College of Funeral Service, ,-85.744696,01061800  ,38.310919,-85.744342,01061800  ,
Mid-America Technology Center,34.912498,Mid-America Technology Center, ,-97.364174,01153700  ,34.912498,-97.364174,01153700  ,
Mid-Atlantic Christian University,36.304673,Mid-Atlantic Christian University, ,-76.217139,02280900  ,36.303765,-76.217496,02280900  ,
Mid-Del Technology Center,35.455237,Mid-Del Technology Center, ,-97.402578,03198400  ,35.455237,-97.402578,03198400  ,
Mid-EastCTC-Adult Education,39.937192,Mid-EastCTC-Adult Education, ,-81.976056,02189000  ,39.937192,-81.976056,02189000  ,
Mid-Plains Community College,41.110429,Mid-Plains Community College, ,-100.748417,00255700  ,41.110429,-100.748417,00255700  ,
Mid-South Christian College,35.064172,Mid-South Christian College, ,-89.911799,04210200  ,,,,
Mid-State Technical College,44.391091,Mid-State Technical College,Mid-State  MSTC,-89.783785,00538000  ,44.391219,-89.783449,00538000  ,
MidAmerica Nazarene University,38.875615,MidAmerica Nazarene University,MidAmerica Nazarene College,-94.781635,00703200  ,38.872608,-94.782586,00703200  ,
Middle Georgia State University,32.808092,Middle Georgia State University, ,-83.732058,00158100  ,,,,
Middle Tennessee School of Anesthesia Inc,36.253425,Middle Tennessee School of Anesthesia Inc,MTSA,-86.683859,00778300  ,36.252997,-86.683396,00778300  ,
Middle Tennessee State University,35.848005,Middle Tennessee State University, ,-86.360618,00351000  ,35.849139,-86.362094,00351000  ,
Middlebury College,44.009117,Middlebury College, ,-73.176068,00369100  ,44.009117,-73.176068,00369100  ,
Middlebury Institute of International Studies at Monterey,36.599736,Middlebury Institute of International Studies at Monterey,MIIS,-121.897325,00369110  ,36.599827,-121.896813,00369110  ,
Middlesex Community College,41.539516,Middlesex Community College,MxCC,-72.611838,00803800  ,41.539516,-72.611838,00803800  ,
Middlesex Community College,42.524328,Middlesex Community College, ,-71.274931,00993600  ,42.525056,-71.273966,00993600  ,
Middlesex County College,40.504728,Middlesex County College, ,-74.366544,00261500  ,40.506117,-74.365723,00261500  ,
Midfield Institute of Cosmetology,33.463987,Midfield Institute of Cosmetology, ,-86.908933,04229400  ,,,,
Midland College,32.029646,Midland College, ,-102.106153,00979700  ,32.028578,-102.105390,00979700  ,
Midland University,41.436740,Midland University,MidlandU,-96.488008,00255300  ,41.436750,-96.488354,00255300  ,
Midlands Technical College,33.949325,Midlands Technical College,MTC,-81.115761,00399300  ,33.949325,-81.115761,00399300  ,
Midstate College,40.761916,Midstate College, ,-89.598859,00456800  ,40.691391,-89.592173,00456800  ,
Midway Paris Beauty School,40.699588,Midway Paris Beauty School, ,-73.909144,00928300  ,40.699612,-73.909591,00928300  ,
Midway University,38.146126,Midway University, ,-84.678142,00197500  ,38.144432,-84.679335,00197500  ,
Midwest Barber College,39.000284,Midwest Barber College, ,-95.689254,04284500  ,,,,
Midwest College of Oriental Medicine-Evanston,42.047290,Midwest College of Oriental Medicine-Evanston, ,-87.681544,03061201  ,41.961284,-87.652605,03061201  ,
Midwest College of Oriental Medicine-Racine,42.678051,Midwest College of Oriental Medicine-Racine, ,-87.856679,03061200  ,42.678051,-87.856679,03061200  ,
Midwest Institute,38.544447,Midwest Institute, ,-90.436174,02121100  ,38.543475,-90.464830,02121100  ,
Midwest Technical Institute-East Peoria,40.642287,Midwest Technical Institute-East Peoria, ,-89.543531,03368302  ,40.645370,-89.546535,03368302  ,
Midwest Technical Institute-Moline,41.489394,Midwest Technical Institute-Moline, ,-90.483614,03368303  ,41.490753,-90.483256,03368303  ,
Midwest Technical Institute-Ridgeland,32.402516,Midwest Technical Institute-Ridgeland,Delta Technical College,-90.178196,03368304  ,32.402990,-90.177702,03368304  ,
Midwest Technical Institute-Springfield,39.840996,Midwest Technical Institute-Springfield, ,-89.595331,03368300  ,39.840996,-89.595331,03368300  ,
Midwest Technical Institute-Springfield,37.147663,Midwest Technical Institute-Springfield, ,-93.256356,03368305  ,,,,
Midwestern Baptist Theological Seminary,39.185691,Midwestern Baptist Theological Seminary,MBTS|MBC|MBC SBC|Midwestern Baptist Seminary|Midwestern|Midwestern Baptist College  SBC|Midwestern Baptist College|MBCSBC,-94.573185,00248500  ,39.185691,-94.573185,00248500  ,
Midwestern Career College,41.880530,Midwestern Career College, ,-87.637390,04139000  ,41.882243,-87.637102,04139000  ,
Midwestern State University,33.874809,Midwestern State University,MSU-Texas,-98.519386,00359200  ,33.877143,-98.517740,00359200  ,
Midwestern University-Downers Grove,41.828115,Midwestern University-Downers Grove, ,-87.998342,00165700  ,41.828376,-88.000989,00165700  ,
Midwestern University-Glendale,33.663853,Midwestern University-Glendale, ,-112.183633,00165701  ,33.663217,-112.183556,00165701  ,
Midwives College of Utah,40.710890,Midwives College of Utah, ,-111.857036,04218300  ,,,,
Mifflin County Academy of Science and Technology,40.605321,Mifflin County Academy of Science and Technology, ,-77.554092,02158300  ,40.605321,-77.554092,02158300  ,
Milan Institute of Cosmetology,35.185307,Milan Institute of Cosmetology, ,-101.916877,02248200  ,35.185026,-101.808780,02248200  ,
Milan Institute of Cosmetology-El Paso,31.749325,Milan Institute of Cosmetology-El Paso, ,-106.300156,02248211  ,31.749022,-106.301672,02248211  ,
Milan Institute of Cosmetology-Fairfield,38.248448,Milan Institute of Cosmetology-Fairfield, ,-122.045500,02248205  ,38.248448,-122.045500,02248205  ,
Milan Institute of Cosmetology-La Quinta,33.711954,Milan Institute of Cosmetology-La Quinta, ,-116.288341,02248210  ,33.706010,-116.276860,02248210  ,
Milan Institute of Cosmetology-Reno,39.485964,Milan Institute of Cosmetology-Reno, ,-119.788456,02248207  ,39.516005,-119.781331,02248207  ,
Milan Institute of Cosmetology-San Antonio Military,29.358241,Milan Institute of Cosmetology-San Antonio Military, ,-98.500738,02248204  ,29.358223,-98.500563,02248204  ,
Milan Institute of Cosmetology-Visalia,36.301861,Milan Institute of Cosmetology-Visalia, ,-119.309922,02248206  ,36.301861,-119.309922,02248206  ,
Milan Institute-Amarillo,35.185278,Milan Institute-Amarillo, ,-101.916984,03098702  ,35.186330,-101.914861,03098702  ,
Milan Institute-Bakersfield,35.385513,Milan Institute-Bakersfield, ,-119.023088,03422302  ,35.385513,-119.023088,03422302  ,
Milan Institute-Bakersfield West,35.388152,Milan Institute-Bakersfield West, ,-119.038111,03422309  ,,,,
Milan Institute-Boise,43.590860,Milan Institute-Boise, ,-116.295195,03422303  ,43.600820,-116.593522,03422303  ,
Milan Institute-Fresno,36.822404,Milan Institute-Fresno, ,-119.795645,03422301  ,36.808536,-119.724891,03422301  ,
Milan Institute-Las Vegas,36.161590,Milan Institute-Las Vegas, ,-115.170333,03422304  ,36.162425,-115.170014,03422304  ,
Milan Institute-Merced,37.322518,Milan Institute-Merced, ,-120.481067,03422308  ,,,,
Milan Institute-Palm Desert,33.783343,Milan Institute-Palm Desert, ,-116.353268,03098700  ,33.772631,-116.344670,03098705  ,
Milan Institute-San Antonio Ingram,29.463767,Milan Institute-San Antonio Ingram, ,-98.624719,03422300  ,29.464524,-98.624812,03422300  ,
Milan Institute-Sparks,39.524564,Milan Institute-Sparks, ,-119.757909,02497309  ,39.525226,-119.758848,02497309  ,
Milan Institute-Visalia,36.271640,Milan Institute-Visalia, ,-119.312151,02497300  ,36.284114,-119.313375,02497300  ,
Mildred Elley School-Albany Campus,42.680833,Mildred Elley School-Albany Campus, ,-73.788615,02219500  ,42.680260,-73.790212,02219500  ,
Mildred Elley-New York Campus,40.705781,Mildred Elley-New York Campus, ,-74.014004,02219503  ,40.705492,-74.013635,02219503  ,
Mildred Elley-Pittsfield Campus,42.449100,Mildred Elley-Pittsfield Campus, ,-73.256461,02219501  ,42.447883,-73.244073,02219501  ,
Miles College,33.482442,Miles College, ,-86.908751,00102800  ,33.481306,-86.908605,00102800  ,
Miles Community College,46.405260,Miles Community College, ,-105.826524,00252800  ,46.404636,-105.826609,00252800  ,
Millennia Atlantic University,25.808134,Millennia Atlantic University, ,-80.352717,04182500  ,25.808520,-80.353321,04182500  ,
Millennium Training Institute,42.495678,Millennium Training Institute, ,-71.127490,04128000  ,42.495839,-71.127076,04128000  ,
Millersville University of Pennsylvania,40.000337,Millersville University of Pennsylvania, ,-76.357381,00332500  ,39.998008,-76.354363,00332500  ,
Milligan College,36.300147,Milligan University,Milligan,-82.294070,00351100  ,,,,
Millikin University,39.842612,Millikin University, ,-88.976298,00172400  ,39.842604,-88.974571,00172400  ,
Mills College,37.781425,Mills College, ,-122.182294,00123800  ,37.782639,-122.187890,00123800  ,
Millsaps College,32.322746,Millsaps College,Millsaps,-90.179957,00241400  ,32.323100,-90.178084,00241400  ,
Milwaukee Area Technical College,43.043590,Milwaukee Area Technical College,MATC,-87.920818,00386600  ,43.043590,-87.920818,00386600  ,
Milwaukee Career College,43.074192,Milwaukee Career College, ,-88.048714,04117400  ,43.074192,-88.048714,04117400  ,
Milwaukee Institute of Art & Design,43.030917,Milwaukee Institute of Art & Design,MIAD,-87.907925,02077100  ,43.030917,-87.907925,02077100  ,
Milwaukee School of Engineering,43.045364,Milwaukee School of Engineering,MSOE,-87.907691,00386800  ,43.045364,-87.907691,00386800  ,
Mind Body Institute,36.219858,Mind Body Institute, ,-86.696522,04223900  ,,,,
Mineral Area College,37.845199,Mineral Area College,MAC,-90.481847,00248600  ,37.845614,-90.482675,00248600  ,
Mineral County Vocational Technical Center,39.427976,Mineral County Vocational Technical Center, ,-78.987462,01014000  ,39.427280,-78.988280,01014000  ,
Mingo Extended Learning Center,37.677016,Mingo Extended Learning Center, ,-82.176972,04212400  ,,,,
