instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
Advanced Barber College and Hair Design,26.131543,Advanced Barber College and Hair Design, ,-97.958247,03412300  ,26.131543,-97.958247,03412300  ,
Advanced Beauty College,32.859493,Advanced Beauty College,ABC,-96.992700,04155800  ,32.860040,-96.992097,04155800  ,
Advanced Career Institute,36.344669,Advanced Career Institute, ,-119.385330,04208900  ,36.344314,-119.385565,04208900  ,
Advanced College,33.915383,Advanced College, ,-118.157940,03786300  ,33.915383,-118.157940,03786300  ,
Advanced College of Cosmetology,43.632848,Advanced College of Cosmetology, ,-88.736198,04179200  ,43.633122,-88.736122,04179200  ,
Advanced College-Stockton,38.025552,Advanced College-Stockton, ,-121.294530,03786301  ,,,,
Advanced Technology Institute,36.841381,Advanced Technology Institute,ATI,-76.182268,03127500  ,36.841029,-76.182939,03127500  ,
Advanced Training Associates,32.819023,Advanced Training Associates, ,-116.981781,03532400  ,32.819524,-116.981366,03532400  ,
Advanced Training Institute,36.095890,Advanced Training Institute, ,-115.206821,04171000  ,36.232235,-115.068295,04171000  ,
Advanced Welding Institute,44.455880,Advanced Welding Institute,AWI,-73.139437,04146900  ,44.455880,-73.139437,04146900  ,
Advantage Career Institute,40.279075,Advantage Career Institute, ,-74.049694,04229100  ,,,,
Advantage Technical College,18.428049,Advantage Technical College, ,-66.493084,03104400  ,18.428049,-66.493084,03104400  ,
Advantage Technical College,18.454692,Advantage Technical College, ,-66.081082,03104401  ,,,,
AdventHealth University,28.576142,AdventHealth University,Florida Hospital College,-81.367687,03115500  ,28.576142,-81.367687,03115500  ,
Aesthetic Science Institute,42.761940,Aesthetic Science Institute, ,-73.794947,04204300  ,42.771428,-73.822506,04204300  ,
Agnes Scott College,33.769268,Agnes Scott College, ,-84.295459,00154200  ,33.769996,-84.295630,00154200  ,
AI Miami International University of Art and Design,25.790008,AI Miami International University of Art and Design, ,-80.188390,00887800  ,25.790008,-80.188390,00887800  ,
Aiken School of Cosmetology and Barbering,33.559545,Aiken School of Cosmetology and Barbering, ,-81.717280,04158100  ,33.559674,-81.717010,04158100  ,
Aiken Technical College,33.533833,Aiken Technical College, ,-81.841666,01005600  ,33.533633,-81.842423,01005600  ,
Aims Community College,40.409559,Aims Community College, ,-104.763415,00758200  ,40.409037,-104.764335,00758200  ,
Air Force Institute of Technology-Graduate School of Engineering & Management,39.782221,Air Force Institute of Technology-Graduate School of Engineering & Management,AFIT,-84.082618,00300900  ,39.780663,-84.087246,00300900  ,
Alabama A & M University,34.783368,Alabama A & M University,AAMU,-86.568502,00100200  ,34.783368,-86.568502,00100200  ,
Alabama College of Osteopathic Medicine,31.206294,Alabama College of Osteopathic Medicine,ACOM,-85.340805,04226700  ,,,,
Alabama School of Nail Technology & Cosmetology,31.509970,Alabama School of Nail Technology & Cosmetology,Alabama School of Nail Technology,-87.893386,04255500  ,,,,
Alabama State College of Barber Styling,33.643546,Alabama State College of Barber Styling,ASCBS,-86.810488,03032500  ,33.643501,-86.810932,03032500  ,
Alabama State University,32.364317,Alabama State University, ,-86.295677,00100500  ,32.364317,-86.295677,00100500  ,
