instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
AI Miami International University of Art and Design,-80.188390,25.790008,Miami,00887800  ,
Aiken School of Cosmetology and Barbering,-81.717280,33.559545,Aiken,04158100  ,
Aiken Technical College,-81.841666,33.533833,Graniteville,01005600  ,
Aims Community College,-104.763415,40.409559,Greeley,00758200  ,
Air Force Institute of Technology-Graduate School of Engineering & Management,-84.082618,39.782221,Wright-Patterson AFB,00300900  ,
Alabama A & M University,-86.568502,34.783368,Normal,00100200  ,
Alabama College of Osteopathic Medicine,-85.340805,31.206294,Dothan,04226700  ,
Alabama School of Nail Technology & Cosmetology,-87.893386,31.509970,Jackson,04255500  ,
Alabama State College of Barber Styling,-86.810488,33.643546,Gardendale,03032500  ,
Alabama State University,-86.295677,32.364317,Montgomery,00100500  ,
Alamance Community College,-79.357657,36.066683,Graham,00546300  ,
Alamo City Barber College,-98.639532,29.527170,San Antonio,04231900  ,
Alamo Community College District Central Office,-98.474082,29.445773,San Antonio,00360700  ,
Alaska Bible College,-149.111972,61.598553,Palmer,00884300  ,
Alaska Career College,-149.856954,61.181443,Anchorage,02541000  ,
Alaska Christian College,-151.136005,60.490459,Soldotna,04138600  ,
Alaska Pacific University,-149.804168,61.190968,Anchorage,00106100  ,
Alaska Vocational Technical Center,-149.444487,60.110626,Seward,03160300  ,
Albany BOCES-Adult Practical Nursing Program,-73.835752,42.745685,Albany,02170200  ,
Albany College of Pharmacy and Health Sciences,-73.779063,42.650371,Albany,00288500  ,
Albany Law School,-73.777495,42.651818,Albany,00288600  ,
Albany Medical College,-73.777289,42.653820,Albany,00288700  ,
Albany State University,-84.141825,31.569280,Albany,00154400  ,
Albany Technical College,-84.174284,31.554340,Albany,00560100  ,
Albert Einstein College of Medicine,-73.846327,40.852847,Bronx,04279700  ,
Albertus Magnus College,-72.923848,41.332519,New Haven,00137400  ,
Albion College,-84.745639,42.245049,Albion,00223500  ,
Albright College,-75.909742,40.361351,Reading,00322900  ,
Alcorn State University,-91.142854,31.877216,Alcorn State,00239600  ,
Alderson Broaddus University,-80.047728,39.158067,Philippi,00380600  ,
Alexander Academy,-71.769406,42.587705,Lunenburg,04193100  ,
Alexander Paul Institute of Hair Design,-77.371696,35.604962,Greenville,04219100  ,
Alexandria School of Scientific Therapeutics,-85.674016,40.255608,Alexandria,03538300  ,
Alexandria Technical & Community College,-95.372369,45.873107,Alexandria,00554400  ,
