instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
Oglethorpe University,-84.333687,33.875441,Atlanta,00158600  ,
Ohel Margulia Seminary,-74.065909,41.121839,Monsey,04278300  ,
Ohio Business College-Sandusky,-82.667389,41.415212,Sandusky,02158501  ,
Ohio Business College-Sheffield,-82.073403,41.423809,Sheffield Village,02158500  ,
Ohio Christian University,-82.904885,39.613155,Circleville,00303000  ,
Ohio Dominican University,-82.940689,39.992764,Columbus,00303500  ,
Ohio Institute of Allied Health,-84.140760,39.845490,Huber Heights,03583300  ,
Ohio Media School-Cincinnati,-84.458763,39.158005,Norwood,03078004  ,
Ohio Media School-Valley View,-81.615624,41.393531,Valley View,03068200  ,
Ohio Medical Career College,-84.195816,39.742339,Dayton,04177300  ,
Ohio Northern University,-83.827441,40.766200,Ada,00308900  ,
Ohio State Beauty Academy,-84.164435,40.761697,Lima,01028000  ,
Ohio State College of Barber Styling,-82.877144,39.977375,Columbus,02066100  ,
Ohio State School of Cosmetology,-83.127863,40.588451,Marion,01016800  ,
Ohio State School of Cosmetology-Canal Winchester,-82.831966,39.856608,CANAL WINCHESTER,02519300  ,
Ohio State School of Cosmetology-Heath,-82.440975,40.030110,Heath,02588500  ,
Ohio State University Agricultural Technical Institute,-81.922936,40.775194,Wooster,00309005  ,
Ohio State University-Lima Campus,-84.023840,40.738521,Lima,00309001  ,
Ohio State University-Main Campus,-83.014853,39.999324,Columbus,00309000  ,
Ohio State University-Mansfield Campus,-82.580194,40.796536,Mansfield,00309002  ,
Ohio State University-Marion Campus,-83.090597,40.577779,Marion,00309003  ,
Ohio State University-Newark Campus,-82.447441,40.069314,Newark,00309004  ,
Ohio Technical Center at Vantage Career Center,-84.570198,40.882295,Van Wert,03095600  ,
Ohio Technical College,-81.656868,41.518038,Cleveland,01174500  ,
Ohio University-Chillicothe Campus,-83.002175,39.329404,Chillicothe,00310005  ,
Ohio University-Eastern Campus,-80.976073,40.073392,Saint Clairsville,00310006  ,
Ohio University-Lancaster Campus,-82.586069,39.738752,Lancaster,00310003  ,
Ohio University-Main Campus,-82.100985,39.326798,Athens,00310000  ,
Ohio University-Southern Campus,-82.666876,38.524781,Ironton,00310004  ,
Ohio University-Zanesville Campus,-82.031063,39.960980,Zanesville,00310002  ,
Ohio Valley College of Technology,-80.572063,40.679600,East Liverpool,02301400  ,
Ohio Valley Hospital School of Nursing,-80.091066,40.472356,McKees Rocks,00656000  ,
Ohio Valley University,-81.537808,39.312447,Vienna,00381900  ,
Ohio Wesleyan University,-83.069757,40.295963,Delaware,00310900  ,
Ohlone College,-121.916339,37.527730,Fremont,00448100  ,
Ohr Hameir Theological Seminary,-73.889793,41.268725,Peekskill,01198400  ,
Oikos University,-122.199689,37.742256,Oakland,04238300  ,
Okaloosa Technical College,-86.614844,30.468660,Fort Walton Beach,03230300  ,
Oklahoma Baptist University,-96.932459,35.360492,Shawnee,00316400  ,
Oklahoma Christian University,-97.469526,35.611412,Edmond,00316500  ,
Oklahoma City Community College,-97.570109,35.387699,Oklahoma City,01039100  ,
Oklahoma City University,-97.541242,35.495271,Oklahoma City,00316600  ,
Oklahoma Panhandle State University,-101.638488,36.594518,Goodwell,00317400  ,
Oklahoma State University Center for Health Sciences,-96.005702,36.137977,Tulsa,01128200  ,
Oklahoma State University Institute of Technology,-95.940373,35.626934,Okmulgee,00317200  ,
Oklahoma State University-Main Campus,-97.069743,36.123085,Stillwater,00317000  ,
Oklahoma State University-Oklahoma City,-97.581959,35.474969,Oklahoma City,00964700  ,
Oklahoma Technical College,-95.905011,36.098687,Tulsa,03367402  ,
Oklahoma Wesleyan University,-95.956710,36.717453,Bartlesville,00315100  ,
Old Dominion University,-76.306660,36.886418,Norfolk,00372800  ,
Old Town Barber College-Wichita,-97.323179,37.685860,Wichita,02134800  ,
Oliver Finley Academy of Cosmetology,-116.281478,43.667102,Boise,04155200  ,
Olivet College,-84.923891,42.442891,Olivet,00230800  ,
Olivet Nazarene University,-87.875165,41.155237,Bourbonnais,00174100  ,
Olney Central College,-88.099589,38.735913,Olney,00174200  ,
Olympian Academy of Cosmetology,-105.949398,32.900199,Alamogordo,01300500  ,
Olympic College,-122.635113,47.574769,Bremerton,00378400  ,
Omega Graduate School,-85.053774,35.468142,Dayton,03840300  ,
Omega Institute of Cosmetology,-90.752356,29.602712,Houma,03498400  ,
Omega Studios' School of Applied Recording Arts & Sciences,-77.113268,39.064270,Rockville,04141600  ,
Omnitech Institute,-84.447546,33.613691,Atlanta,03812300  ,
Onondaga Community College,-76.197878,43.006329,Syracuse,00287500  ,
Onondaga Cortland Madison BOCES,-76.203875,43.115889,Liverpool,01265200  ,
Onondaga School of Therapeutic Massage-Rochester,-77.584781,43.159086,Rochester,04155301  ,
Onondaga School of Therapeutic Massage-Syracuse,-76.140431,43.047700,Syracuse,04155300  ,
Opelousas School of Cosmetology,-92.077854,30.531650,Opelousas,02601100  ,
Oral Roberts University,-95.952547,36.049129,Tulsa,00398500  ,
Orange Coast College,-117.909086,33.669270,Costa Mesa,00125000  ,
Orange County Community College,-74.426028,41.438629,Middletown,00287600  ,
Orange Technical College-Mid Florida Campus,-81.415996,28.471695,Orlando,02501500  ,
Orange Technical College-Orlando Campus,-81.383783,28.550422,Orlando,02513200  ,
Orange Technical College-Westside Campus,-81.571532,28.559574,Winter Garden,02321200  ,
Orange Technical College-Winter Park Campus,-81.361740,28.604386,Winter Park,02504600  ,
Orange Ulster BOCES-Practical Nursing Program,-74.322049,41.389220,Goshen,02124000  ,
Orangeburg Calhoun Technical College,-80.829270,33.544850,Orangeburg,00681500  ,
Oregon Coast Community College,-124.046973,44.603136,Newport,00321320  ,
Oregon College of Art and Craft,-122.761912,45.511121,Portland,03007300  ,
Oregon College of Oriental Medicine,-122.671099,45.524121,Portland,02603700  ,
Oregon Health & Science University,-122.686096,45.498772,Portland,00488200  ,
Oregon Institute of Technology,-121.785177,42.257152,Klamath Falls,00321100  ,
Oregon State University,-123.274723,44.563950,Corvallis,00321000  ,
Oregon State University-Cascades Campus,-121.333703,44.042795,Bend,00321001  ,
Orion Institute,-83.598514,41.556265,Perrysburg,03776400  ,
Orleans Niagara BOCES-Practical Nursing Program,-78.866537,43.146060,Sanborn,02199300  ,
Orleans Technical College,-75.011324,40.090338,Philadelphia,02183000  ,
Orlo School of Hair Design and Cosmetology,-73.784587,42.674053,Albany,02587600  ,
Osceola Technical College,-81.349696,28.298648,Kissimmee,03127900  ,
Oswego County BOCES,-76.259308,43.457841,Mexico,01278300  ,
Otero Junior College,-103.544874,37.969984,La Junta,00136200  ,
Otis College of Art and Design,-118.416615,33.956607,Los Angeles,00125100  ,
Otsego Area BOCES-Practical Nursing Program,-74.922225,42.589150,Oneonta,02104300  ,
Ottawa University-Kansas City,-94.635461,38.932055,Overland Park,00193702  ,
Ottawa University-Milwaukee,-88.115185,43.029630,Brookfield,00193704  ,
Ottawa University-Online,-95.264165,38.602351,Ottawa,00193700  ,
Ottawa University-Ottawa,-95.264187,38.603173,Ottawa,00193700  ,
Ottawa University-Phoenix,-112.113001,33.572173,Phoenix,00193701  ,
Ottawa University-Surprise,-112.368233,33.628923,Surprise,00193722  ,
Otterbein University,-82.936444,40.125327,Westerville,00311000  ,
Ouachita Baptist University,-93.052471,34.126093,Arkadelphia,00110200  ,
Our Lady of the Lake University,-98.543650,29.426194,San Antonio,00359800  ,
Owens Community College,-83.538634,41.587998,Perrysburg,00575300  ,
Owensboro Community and Technical College,-87.082861,37.717355,Owensboro,03034500  ,
Oxford Academy of Hair Design Inc,-73.061063,41.397798,Seymour,04145400  ,
Oxnard College,-119.157604,34.166104,Oxnard,01284200  ,
Ozark Christian College,-94.510622,37.103172,Joplin,02202700  ,
Ozarka College,-91.896355,36.053031,Melbourne,02087000  ,
Ozarks Technical Community College,-93.279985,37.216479,Springfield,03083000  ,
P B Cosmetology Education Center,-75.126308,39.898805,Gloucester,01062900  ,
P C Age-Jersey City,-74.066910,40.732114,Jersey City,03650600  ,
P&A Scholars Beauty School,-83.157878,42.376091,Detroit,04014300  ,
Pace University,-74.004719,40.711014,New York,00279100  ,
Pacific Bible College,-122.874107,42.324959,Medford,04251300  ,
Pacific College,-117.873382,33.680043,Costa Mesa,03299300  ,
Pacific College of Health Science-Chicago,-87.625488,41.886588,Chicago,03027702  ,
Pacific College of Oriental Medicine-New York,-74.006721,40.708800,New York,03027701  ,
Pacific College of Oriental Medicine-San Diego,-117.160730,32.778391,San Diego,03027700  ,
Pacific Islands University,144.835821,13.465046,Mangilao,03438300  ,
Pacific Lutheran University,-122.440421,47.145160,Tacoma,00378500  ,
Pacific Northwest College of Art,-122.678182,45.526766,Portland,00320700  ,
Pacific Northwest University of Health Sciences,-120.455980,46.602872,Yakima,04130500  ,
Pacific Oaks College,-118.151323,34.153382,Pasadena,00125500  ,
Pacific Rim Christian University,-157.888379,21.328198,Honolulu,04252700  ,
Pacific School of Religion,-122.263155,37.876690,Berkeley,00125600  ,
Pacific States University,-118.298408,34.061315,Los Angeles,03163300  ,
Pacific Union College,-122.440308,38.570585,Angwin,00125800  ,
Pacific University,-123.108777,45.521394,Forest Grove,00321200  ,
Pacifica Graduate Institute,-119.580414,34.420881,Carpinteria,03126800  ,
Paier College of Art Inc,-72.935048,41.347714,Hamden,00745900  ,
Paine College,-81.993225,33.469545,Augusta,00158700  ,
Palace Beauty College,-118.309491,34.044739,Los Angeles,04001300  ,
Palau Community College,134.473744,7.343177,Koror,01100900  ,
Palladium Technical Academy Inc,-118.043580,34.091838,Temple City,04014400  ,
Palm Beach Academy of Health & Beauty,-80.074979,26.803621,Lake Park,04106300  ,
Palm Beach Atlantic University,-80.052470,26.704400,West Palm Beach,00884900  ,
Palm Beach State College,-80.086530,26.612560,Lake Worth,00151200  ,
Palmer College of Chiropractic,-90.574607,41.529021,Davenport,01230000  ,
Palmetto Beauty School,-81.870867,34.978606,Spartanburg,04192600  ,
Palo Alto College,-98.543468,29.322955,San Antonio,02341300  ,
Palo Alto University,-122.187437,37.382216,Palo Alto,02138300  ,
Palo Verde College,-114.651698,33.661538,Blythe,00125900  ,
Palomar College,-117.183978,33.149483,San Marcos,00126000  ,
Palomar Institute of Cosmetology,-117.188351,33.136630,San Marcos,02537200  ,
Pamlico Community College,-76.833720,35.068398,Grantsboro,00703100  ,
Panache Academy of Beauty,-89.780047,43.576200,Baraboo,04202800  ,
Panola College,-94.356355,32.156214,Carthage,00360000  ,
Paradise Valley Community College,-112.009865,33.652135,Phoenix,02623600  ,
Paramount Beauty Academy,-82.979351,38.739039,Portsmouth,03100100  ,
Pardee RAND Graduate School,-118.490655,34.009730,Santa Monica,01044100  ,
Paris Junior College,-95.529177,33.650929,Paris,00360100  ,
Parisian Beauty School,-74.041163,40.889745,Hackensack,00759300  ,
Parisian Spa Institute,-81.677501,30.313140,Jacksonville,04225000  ,
Park Place Premier Barber School,-90.061019,29.997288,New Orleans,04234600  ,
Park University,-94.679041,39.189256,Parkville,00249800  ,
Parker University,-96.893564,32.880335,Dallas,02305300  ,
Parkland College,-88.290359,40.131963,Champaign,00711800  ,
Paroba College of Cosmetology,-122.243673,47.907818,Everett,02184200  ,
Pasadena City College,-118.118196,34.144552,Pasadena,00126100  ,
Pasco-Hernando State College,-82.646727,28.275100,New Port Richey,01065200  ,
Passaic County Community College,-74.168778,40.918449,Paterson,00999400  ,
Pat Goins Benton Road Beauty School,-93.719361,32.516422,Bossier City,01287900  ,
Patrick Henry College,-77.690939,39.138687,Purcellville,03951300  ,
Patrick Henry Community College,-79.871133,36.737893,Martinsville,00375100  ,
Paul D Camp Community College,-76.937570,36.674527,Franklin,00915900  ,
Paul Mitchell the School-Ardmore,-97.144647,34.181867,Ardmore,04184300  ,
Paul Mitchell the School-Arkansas,-94.153892,36.126373,Fayetteville,00792100  ,
Paul Mitchell the School-Arlington,-97.107997,32.680899,Arlington,01248302  ,
Paul Mitchell the School-Atlanta,-84.416273,33.782528,Atlanta,04147000  ,
Paul Mitchell the School-Austin,-97.740293,30.386375,Austin,04125400  ,
Paul Mitchell the School-Birmingham,-86.808018,33.388978,Hoover,04149200  ,
Paul Mitchell the School-Boise,-116.286058,43.594479,Boise,02607100  ,
Paul Mitchell the School-Bradley,-87.847099,41.172891,Bourbonnais,03065300  ,
Paul Mitchell the School-Charleston,-80.022852,32.874611,North Charleston,01179902  ,
Paul Mitchell the School-Chicago,-87.646644,41.866213,Chicago,03490300  ,
Paul Mitchell the School-Cincinnati,-84.392501,39.291618,Cincinnati,04149100  ,
Paul Mitchell the School-Cleveland,-81.463033,41.330927,Twinsburg,04126000  ,
Paul Mitchell the School-Colorado Springs,-104.828339,38.832889,Colorado Springs,04170200  ,
Paul Mitchell the School-Columbia,-81.039954,33.997804,Columbia,01179901  ,
Paul Mitchell the School-Columbus,-82.938765,40.059575,Columbus,04153300  ,
Paul Mitchell the School-Costa Mesa,-117.927468,33.695103,Costa Mesa,02531800  ,
Paul Mitchell the School-Delaware,-75.680231,39.622740,Newark,04171100  ,
Paul Mitchell the School-Denver,-105.077283,39.708980,Lakewood,04221400  ,
Paul Mitchell the School-East Bay,-122.061226,37.944920,Pleasant Hill,04175200  ,
Paul Mitchell the School-Esani,-84.333674,34.042224,Roswell,02577000  ,
Paul Mitchell The School-Farmington Hills,-83.357682,42.498205,Farmington Hills,04230200  ,
Paul Mitchell the School-Fayetteville,-78.957673,35.070011,Fayetteville,01179900  ,
Paul Mitchell the School-Fort Myers,-81.792422,26.495581,Fort Myers,03907301  ,
Paul Mitchell the School-Fresno,-119.782437,36.809778,Fresno,04165900  ,
Paul Mitchell the School-Gastonia,-81.178335,35.255515,Gastonia,03777300  ,
Paul Mitchell the School-Grand Rapids,-85.596605,42.910707,Kentwood,04230500  ,
Paul Mitchell the School-Great Lakes,-82.458848,42.978839,Port Huron,03907300  ,
Paul Mitchell the School-Greenville,-82.288377,34.824899,Greenville,01179903  ,
Paul Mitchell the School-Honolulu,-157.800461,21.282060,Honolulu,04175100  ,
Paul Mitchell the School-Houston,-95.559723,29.785868,Houston,02357700  ,
Paul Mitchell the School-Huntsville,-86.752565,34.681465,Madison,02285000  ,
Paul Mitchell the School-Indianapolis,-86.127361,39.640007,Indianapolis,04184000  ,
Paul Mitchell the School-Jacksonville,-81.527515,30.259433,Jacksonville,02149900  ,
Paul Mitchell the School-Jersey Shore,-74.143713,40.062647,Brick,04218200  ,
Paul Mitchell the School-Jessup,-76.785931,39.169470,Jessup,03965501  ,
Paul Mitchell the School-Knoxville,-84.057621,35.922710,Knoxville,02275500  ,
Paul Mitchell the School-Lansing,-84.508781,42.734550,Lansing,04230400  ,
Paul Mitchell the School-Las Vegas,-115.117034,36.016734,Las Vegas,04186300  ,
Paul Mitchell the School-Lexington,-84.548281,37.980361,Lexington,02340800  ,
Paul Mitchell the School-Logan,-111.835966,41.726961,Logan,03909300  ,
Paul Mitchell the School-Lombard,-88.008159,41.839535,Lombard,03490302  ,
Paul Mitchell the School-Louisville,-85.578849,38.248970,Louisville,02351700  ,
Paul Mitchell the School-Madison,-89.503169,43.064984,Madison,03822300  ,
Paul Mitchell the School-Memphis,-89.947956,35.129595,Memphis,03253300  ,
Paul Mitchell the School-Merrillville,-87.336518,41.473680,Merrillville,04230300  ,
Paul Mitchell the School-Miami,-80.313201,25.687390,Miami,04120400  ,
Paul Mitchell the School-Michigan,-83.028804,42.593439,Sterling Heights,02531806  ,
Paul Mitchell the School-Milwaukee,-88.257785,43.044227,Pawaukee,04165300  ,
Paul Mitchell the School-Missouri Columbia,-92.310417,38.969222,Columbia,03077200  ,
Paul Mitchell the School-Modesto,-120.993745,37.683010,Modesto,04162800  ,
Paul Mitchell the School-Murfreesboro,-86.420680,35.849141,Murfreesboro,02153100  ,
Paul Mitchell the School-Nampa,-116.594823,43.613794,Nampa,02607101  ,
Paul Mitchell the School-Normal,-88.959619,40.509380,Normal,04160600  ,
Paul Mitchell the School-North Haven,-72.857450,41.394495,North Haven,02112700  ,
Paul Mitchell the School-Ogden,-111.974233,41.225229,Ogden,02556802  ,
Paul Mitchell the School-Orlando,-81.234215,28.663679,Oviedo,02531803  ,
Paul Mitchell the School-Overland Park,-94.688051,38.955930,Overland Park,04209300  ,
Paul Mitchell the School-Pasadena,-118.133403,34.144765,Pasadena,04138700  ,
Paul Mitchell the School-Phoenix,-112.133047,33.523667,Phoenix,04174100  ,
Paul Mitchell the School-Portland,-122.677741,45.522130,Portland,02311000  ,
Paul Mitchell the School-Portsmouth,-70.760159,43.075732,Portsmouth,02211600  ,
Paul Mitchell the School-Provo,-111.642161,40.240480,Provo,02531807  ,
Paul Mitchell the School-Raleigh,-78.740471,35.882566,Raleigh,04204700  ,
Paul Mitchell the School-Reno,-119.803848,39.509232,Reno,04203100  ,
Paul Mitchell the School-Rexburg,-111.803591,43.814348,Rexburg,04144500  ,
Paul Mitchell the School-Rhode Island,-71.459056,41.755208,Cranston,02531802  ,
Paul Mitchell the School-Richland,-119.246059,46.226260,Richland,03065000  ,
Paul Mitchell the School-Roanoke,-79.957590,37.255284,Roanoke,03010700  ,
Paul Mitchell the School-Sacramento,-121.415940,38.594752,Sacramento,04152800  ,
Paul Mitchell the School-Salt Lake City,-111.835077,40.666643,Holladay,02556800  ,
Paul Mitchell the School-San Antonio,-98.465779,29.610611,San Antonio,01248301  ,
Paul Mitchell the School-San Diego,-117.160838,32.719128,San Diego,02531804  ,
Paul Mitchell the School-San Jose,-121.891967,37.332192,San Jose,04152801  ,
Paul Mitchell the School-Schenectady,-73.941968,42.813241,Schenectady,04228300  ,
Paul Mitchell the School-Sherman Oaks,-118.467369,34.155811,Sherman Oaks,04158200  ,
Paul Mitchell the School-Spokane,-117.198930,47.658368,Spokane Valley,04191900  ,
Paul Mitchell the School-Springfield,-93.318150,37.159135,Springfield,04145700  ,
Paul Mitchell the School-St Louis,-90.262731,38.644740,St. Louis,04170700  ,
Paul Mitchell the School-St. George,-113.606488,37.083414,Saint George,03110400  ,
Paul Mitchell the School-Tampa,-82.574571,28.068640,Tampa,02531805  ,
Paul Mitchell the School-Temecula,-117.146674,33.507316,Temecula,04167000  ,
Paul Mitchell the School-Toledo,-83.668124,41.706636,Sylvania,04149101  ,
Paul Mitchell the School-Tulsa,-95.820230,36.132259,Tulsa,04240500  ,
Paul Mitchell the School-Tysons Corner,-77.222536,38.916957,McLean,02149901  ,
Paul Mitchell the School-Webster,-95.126497,29.527723,Webster,02357701  ,
Paul Mitchell the School-Wichita,-97.243200,37.741502,Wichita,02606300  ,
Paul Mitchell the School-Woodbridge,-77.293304,38.635367,Woodbridge,02149902  ,
Paul Quinn College,-96.755778,32.678837,Dallas,00360200  ,
Paul Smiths College of Arts and Science,-74.252675,44.433965,Paul Smiths,00279500  ,
Payne Theological Seminary,-83.884871,39.715286,Wilberforce,01001700  ,
PC AGE-Metropark,-74.325692,40.561771,Iselin,03650603  ,
PCCenter,-96.824125,32.934898,Farmers Branch,04136500  ,
PCI Academy-Ames,-93.613611,41.997670,Ames,02160900  ,
PCI Academy-Plymouth,-93.508453,45.033765,Plymouth,02160901  ,
PCI College,-118.100169,33.874750,Cerritos,03479300  ,
PCI Health Training Center,-96.876316,32.820070,Dallas,03019800  ,
Pearl River Community College,-89.543052,30.844322,Poplarville,00243000  ,
Peirce College,-75.166332,39.945483,Philadelphia,00330900  ,
Pellissippi State Community College,-84.166504,35.948303,Knoxville,01269300  ,
Peloton College,-96.769353,32.861997,Dallas,04168700  ,
Peloton College,-97.092451,32.758324,Arlington,04168701  ,
Peninsula College,-123.412865,48.101295,Port Angeles,00378600  ,
Penn Commercial Business/Technical School,-80.238844,40.182387,Washington,00490200  ,
Pennco Tech-Blackwood,-75.061659,39.807941,Blackwood,02131600  ,
Pennco Tech-Bristol,-74.870959,40.097992,Bristol,00944900  ,
Pennsylvania Academy of the Fine Arts,-75.163456,39.955692,Philadelphia,02107300  ,
Pennsylvania College of Art and Design,-76.308769,40.041152,Lancaster,02269900  ,
Pennsylvania College of Health Sciences,-76.247035,40.060419,Lancaster,00986300  ,
Pennsylvania College of Technology,-77.023665,41.234145,Williamsport,00339500  ,
Pennsylvania Gunsmith School,-80.068694,40.496621,Pittsburgh,02330600  ,
Pennsylvania Highlands Community College,-78.837175,40.264080,Johnstown,03180400  ,
Pennsylvania Institute of Health and Technology,-79.652374,39.950525,Mount Braddock,00500701  ,
Pennsylvania Institute of Technology,-75.388930,39.908335,Media,01099800  ,
Pennsylvania State System of Higher Education-Central Office,-76.904363,40.294887,Harrisburg,00331400  ,
Pennsylvania State University-College of Medicine,-76.674080,40.264245,Hershey,00332901  ,
Pennsylvania State University-Dickinson Law,-77.197794,40.199443,Carlisle,00332922  ,
Pennsylvania State University-Main Campus,-77.862848,40.796500,University Park,00332900  ,
Pennsylvania State University-Penn State Abington,-75.109083,40.116830,Abington,00332913  ,
Pennsylvania State University-Penn State Altoona,-78.408247,40.540920,Altoona,00332903  ,
Pennsylvania State University-Penn State Beaver,-80.296235,40.678254,Monaca,00332904  ,
Pennsylvania State University-Penn State Berks,-75.972141,40.357987,Reading,00332906  ,
Pennsylvania State University-Penn State Brandywine,-75.446983,39.926381,Media,00332921  ,
Pennsylvania State University-Penn State DuBois,-78.751784,41.126941,DuBois,00332907  ,
Pennsylvania State University-Penn State Erie-Behrend College,-79.983773,42.119433,Erie,00332905  ,
Pennsylvania State University-Penn State Fayette- Eberly,-79.657769,39.947217,Lemont Furnace,00332908  ,
Pennsylvania State University-Penn State Great Valley,-75.522545,40.052256,Malvern,00332919  ,
Pennsylvania State University-Penn State Greater Allegheny,-79.827447,40.345582,McKeesport,00332910  ,
Pennsylvania State University-Penn State Harrisburg,-76.742300,40.203766,Middletown,00332920  ,
Pennsylvania State University-Penn State Hazleton,-76.031061,40.983958,Hazleton,00332909  ,
Pennsylvania State University-Penn State Lehigh Valley,-75.402507,40.559208,Center Valley,00332902  ,
Pennsylvania State University-Penn State Mont Alto,-77.542355,39.842047,Mont Alto,00332911  ,
Pennsylvania State University-Penn State New Kensington,-79.697232,40.551159,New Kensington,00332912  ,
Pennsylvania State University-Penn State Schuylkill,-76.166326,40.640499,Schuylkill Haven,00332914  ,
Pennsylvania State University-Penn State Scranton,-75.620583,41.440258,Dunmore,00332915  ,
Pennsylvania State University-Penn State Shenango,-80.508764,41.235053,Sharon,00332916  ,
Pennsylvania State University-Penn State Wilkes-Barre,-76.016599,41.306003,Lehman,00332917  ,
Pennsylvania State University-Penn State York,-76.702835,39.952327,York,00332918  ,
Pennsylvania State University-World Campus,-77.841594,40.832783,University Park,00332900  ,
Penrose Academy,-111.927617,33.608309,Scottsdale,04175300  ,
Pensacola School of Massage Therapy & Health Careers,-87.195529,30.494755,Pensacola,04105400  ,
Pensacola State College,-87.200265,30.479267,Pensacola,00151300  ,
Penta County Joint Vocational School,-83.571594,41.584263,Perrysburg,01170300  ,
Pentecostal Theological Seminary,-84.868326,35.162528,Cleveland,02188300  ,
Pepperdine University,-118.707077,34.037786,Malibu,01014900  ,
Peralta Community College System Office,-122.260837,37.792667,Oakland,00126500  ,
Perry Technical Institute,-120.537976,46.571492,Yakima,00938700  ,
Peru State College,-95.732731,40.474689,Peru,00255900  ,
Pets Playground Grooming School,-80.100676,26.248045,Pompano Beach,04254300  ,
Pfeiffer University,-80.283168,35.484696,Misenheimer,00295500  ,
Phagans Beauty College,-123.310594,44.549973,Corvallis,01234800  ,
Phagans Central Oregon Beauty College,-121.264194,44.063609,Bend,01234700  ,
Phagans Grants Pass College of Beauty,-123.298826,42.435266,Grants Pass,03185300  ,
Phagans Medford Beauty School,-122.868181,42.351071,Medford,01012200  ,
Phagans School of Beauty,-122.981962,44.937695,Salem,01235100  ,
Phagans School of Hair Design,-122.574975,45.435373,Happy Valley,01235000  ,
Philadelphia College of Osteopathic Medicine,-75.216092,40.004885,Philadelphia,00335200  ,
Philadelphia Technician Training,-75.157038,40.068722,Philadelphia,04221300  ,
Philander Smith College,-92.283015,34.737131,Little Rock,00110300  ,
Phillips Community College of the University of Arkansas,-90.616884,34.546155,Helena,00110400  ,
Phillips School of Nursing at Mount Sinai Beth Israel,-73.990936,40.744973,New York,00643800  ,
Phillips Theological Seminary,-95.868146,36.167983,Tulsa,02560200  ,
Phipps Academy of Barbering,-87.705681,41.485005,Richton Park,04254000  ,
Phoenix College,-112.088293,33.481361,Phoenix,00107800  ,
Phoenix Institute of Herbal Medicine & Acupuncture,-112.068783,33.522890,Phoenix,03617500  ,
Phoenix Seminary,-111.910665,33.581645,Scottsdale,03478400  ,
PiBerry Institute,-80.463557,25.486630,Homestead,04246900  ,
Pickaway Ross Joint Vocational School District,-83.002700,39.362601,Chillicothe,02560700  ,
Pickens Technical College,-104.789683,39.723705,Aurora,01287500  ,
Piedmont College,-83.542126,34.566042,Demorest,00158800  ,
Piedmont Community College,-78.980607,36.431674,Roxboro,00964600  ,
Piedmont International University,-80.250153,36.087962,Winston-Salem,00295600  ,
Piedmont Technical College,-82.120635,34.207415,Greenwood,00399200  ,
Piedmont Virginia Community College,-78.483707,38.006895,Charlottesville,00992800  ,
Pierce College-Fort Steilacoom,-122.570935,47.172082,Lakewood,00500000  ,
Pierce College-Puyallup,-122.272365,47.156328,Lakewood,00500003  ,
Pierpont Community and Technical College,-80.162447,39.483057,Fairmont,04038500  ,
Pike County Joint Vocational School District,-83.007113,39.054045,Piketon,04152600  ,
Pike-Lincoln Technical Center,-91.019918,39.245484,Eolia,01173500  ,
Pikes Peak Community College,-104.787261,38.764287,Colorado Springs,00889600  ,
Pillar College,-74.169153,40.738539,Newark,03666300  ,
Pima Community College,-110.886659,32.222125,Tucson,00726600  ,
Pima Medical Institute-Albuquerque,-106.594880,35.104855,Albuquerque,02217103  ,
Pima Medical Institute-Albuquerque West,-106.687874,35.181571,Albuquerque,03678300  ,
Pima Medical Institute-Aurora,-104.831481,39.695600,Aurora,04177100  ,
Pima Medical Institute-Chula Vista,-117.093388,32.619858,Chula Vista,02217106  ,
Pima Medical Institute-Colorado Springs,-104.820989,38.914019,Colorado Springs,02217108  ,
Pima Medical Institute-Denver,-105.002520,39.831679,Denver,02217104  ,
Pima Medical Institute-Dillon,-112.641211,45.208156,Dillon,03678301  ,
Pima Medical Institute-East Valley,-111.689497,33.376378,Mesa,02217111  ,
Pima Medical Institute-El Paso,-106.326782,31.738140,El Paso,02217123  ,
Pima Medical Institute-Houston,-95.562287,29.838306,Houston,02217118  ,
Pima Medical Institute-Las Vegas,-115.102238,36.114105,Las Vegas,02217109  ,
Pima Medical Institute-Mesa,-111.874170,33.396878,Mesa,02217101  ,
Pima Medical Institute-Phoenix,-112.118075,33.608723,Phoenix,04177101  ,
Pima Medical Institute-Renton,-122.211383,47.469017,Renton,02217110  ,
Pima Medical Institute-San Marcos,-117.160199,33.136906,San Marcos,02217125  ,
Pima Medical Institute-Seattle,-122.326844,47.699144,Seattle,02217105  ,
Pima Medical Institute-Tucson,-110.878783,32.248067,Tucson,02217100  ,
Pima Medical Institution-San Antonio,-98.540716,29.488708,San Antonio,02217126  ,
Pine Manor College,-71.156464,42.320827,Chestnut Hill,00220100  ,
Pine Technical & Community College,-92.968283,45.818667,Pine City,00553500  ,
Pinellas Technical College-Clearwater,-82.719064,27.911922,Clearwater,00560500  ,
Pinellas Technical College-St. Petersburg,-82.681534,27.761183,Saint Petersburg,02115300  ,
Pineville Beauty School,-92.430903,31.325717,Pineville,02327800  ,
Pinnacle Career Institute-North Kansas City,-94.684474,39.301199,Kansas City,01040501  ,
Pinnacle Career Institute-South Kansas City,-94.529762,38.938335,Kansas City,01040500  ,
